longitude,latitude,timestamp
-74.1855,40.69906,2023-12-10T08:37:49Z
-74.18549,40.69913,2023-12-10T08:37:50Z
-74.18548,40.6992,2023-12-10T08:37:50Z
-74.18547,40.69927,2023-12-10T08:37:50Z
-74.18545,40.69934,2023-12-10T08:37:51Z
-74.18543,40.69942,2023-12-10T08:37:52Z
-74.18541,40.69948,2023-12-10T08:37:52Z
-74.18539,40.69955,2023-12-10T08:37:52Z
-74.18537,40.69962,2023-12-10T08:37:53Z
-74.18534,40.69969,2023-12-10T08:37:53Z
-74.18531,40.69976,2023-12-10T08:37:54Z
-74.18527,40.69984,2023-12-10T08:37:54Z
-74.18524,40.6999,2023-12-10T08:37:55Z
-74.18522,40.69996,2023-12-10T08:37:55Z
-74.18519,40.70001,2023-12-10T08:37:56Z
-74.18516,40.70006,2023-12-10T08:37:56Z
-74.18512,40.70011,2023-12-10T08:37:56Z
-74.18508,40.70016,2023-12-10T08:37:57Z
-74.18505,40.7002,2023-12-10T08:37:57Z
-74.185,40.70024,2023-12-10T08:37:57Z
-74.18496,40.70028,2023-12-10T08:37:58Z
-74.18491,40.70032,2023-12-10T08:37:58Z
-74.18457,40.70058,2023-12-10T08:38:01Z
-74.18424,40.70083,2023-12-10T08:38:03Z
-74.1842,40.70086,2023-12-10T08:38:03Z
-74.18416,40.7009,2023-12-10T08:38:04Z
-74.18412,40.70095,2023-12-10T08:38:04Z
-74.18409,40.70099,2023-12-10T08:38:04Z
-74.18406,40.70104,2023-12-10T08:38:05Z
-74.18404,40.70108,2023-12-10T08:38:05Z
-74.18402,40.70113,2023-12-10T08:38:05Z
-74.184,40.70118,2023-12-10T08:38:06Z
-74.18399,40.70123,2023-12-10T08:38:06Z
-74.18399,40.70129,2023-12-10T08:38:06Z
-74.18399,40.70134,2023-12-10T08:38:07Z
-74.18399,40.7014,2023-12-10T08:38:07Z
-74.18399,40.70145,2023-12-10T08:38:07Z
-74.184,40.70152,2023-12-10T08:38:08Z
-74.18402,40.70158,2023-12-10T08:38:08Z
-74.18403,40.70165,2023-12-10T08:38:09Z
-74.18406,40.70171,2023-12-10T08:38:09Z
-74.18409,40.70178,2023-12-10T08:38:10Z
-74.18412,40.70185,2023-12-10T08:38:10Z
-74.18415,40.7019,2023-12-10T08:38:11Z
-74.18419,40.70195,2023-12-10T08:38:11Z
-74.18422,40.70199,2023-12-10T08:38:11Z
-74.18426,40.70203,2023-12-10T08:38:12Z
-74.1843,40.70207,2023-12-10T08:38:12Z
-74.18435,40.70211,2023-12-10T08:38:12Z
-74.1844,40.70214,2023-12-10T08:38:13Z
-74.18445,40.70216,2023-12-10T08:38:13Z
-74.1845,40.70219,2023-12-10T08:38:13Z
-74.18456,40.70221,2023-12-10T08:38:14Z
-74.18461,40.70222,2023-12-10T08:38:14Z
-74.18466,40.70223,2023-12-10T08:38:14Z
-74.18472,40.70224,2023-12-10T08:38:14Z
-74.18477,40.70224,2023-12-10T08:38:15Z
-74.18483,40.70224,2023-12-10T08:38:15Z
-74.18488,40.70223,2023-12-10T08:38:15Z
-74.18544,40.7022,2023-12-10T08:38:18Z
-74.18663,40.70214,2023-12-10T08:38:24Z
-74.18673,40.70216,2023-12-10T08:38:25Z
-74.18683,40.7022,2023-12-10T08:38:25Z
-74.18688,40.70224,2023-12-10T08:38:26Z
-74.18694,40.70227,2023-12-10T08:38:26Z
-74.18701,40.70229,2023-12-10T08:38:26Z
-74.18708,40.70229,2023-12-10T08:38:27Z
-74.18715,40.70227,2023-12-10T08:38:27Z
-74.18715,40.70227,2023-12-10T08:38:27Z
-74.18721,40.70223,2023-12-10T08:38:27Z
-74.18725,40.70219,2023-12-10T08:38:28Z
-74.18725,40.70219,2023-12-10T08:38:28Z
-74.18728,40.70213,2023-12-10T08:38:28Z
-74.18728,40.70207,2023-12-10T08:38:29Z
-74.18726,40.70202,2023-12-10T08:38:29Z
-74.18721,40.70197,2023-12-10T08:38:29Z
-74.18716,40.70194,2023-12-10T08:38:30Z
-74.18709,40.70192,2023-12-10T08:38:30Z
-74.18703,40.70192,2023-12-10T08:38:30Z
-74.18696,40.70193,2023-12-10T08:38:31Z
-74.1869,40.70195,2023-12-10T08:38:31Z
-74.18685,40.70199,2023-12-10T08:38:31Z
-74.18671,40.70204,2023-12-10T08:38:32Z
-74.18661,40.70206,2023-12-10T08:38:33Z
-74.18661,40.70206,2023-12-10T08:38:33Z
-74.18646,40.70207,2023-12-10T08:38:33Z
-74.18632,40.70206,2023-12-10T08:38:34Z
-74.18619,40.70203,2023-12-10T08:38:35Z
-74.18609,40.70198,2023-12-10T08:38:35Z
-74.186,40.70193,2023-12-10T08:38:36Z
-74.18594,40.70187,2023-12-10T08:38:37Z
-74.18588,40.70179,2023-12-10T08:38:37Z
-74.18585,40.70172,2023-12-10T08:38:38Z
-74.18581,40.70157,2023-12-10T08:38:39Z
-74.18579,40.70135,2023-12-10T08:38:40Z
-74.1858,40.7013,2023-12-10T08:38:40Z
-74.1859,40.70094,2023-12-10T08:38:43Z
-74.18595,40.70084,2023-12-10T08:38:44Z
-74.18614,40.70048,2023-12-10T08:38:46Z
-74.1862,40.70038,2023-12-10T08:38:47Z
-74.18639,40.70002,2023-12-10T08:38:50Z
-74.1865,40.69982,2023-12-10T08:38:51Z
-74.1865,40.69982,2023-12-10T08:38:51Z
-74.18654,40.69978,2023-12-10T08:38:51Z
-74.18659,40.69976,2023-12-10T08:38:52Z
-74.18664,40.69974,2023-12-10T08:38:52Z
-74.1867,40.69973,2023-12-10T08:38:52Z
-74.18676,40.69971,2023-12-10T08:38:53Z
-74.18682,40.69971,2023-12-10T08:38:53Z
-74.18694,40.69969,2023-12-10T08:38:53Z
-74.18731,40.69967,2023-12-10T08:38:55Z
-74.18771,40.69963,2023-12-10T08:38:57Z
-74.18781,40.69963,2023-12-10T08:38:58Z
-74.18804,40.69961,2023-12-10T08:38:59Z
-74.18809,40.6996,2023-12-10T08:38:59Z
-74.18814,40.69959,2023-12-10T08:39:00Z
-74.18819,40.69958,2023-12-10T08:39:00Z
-74.18824,40.69956,2023-12-10T08:39:00Z
-74.18907,40.69933,2023-12-10T08:39:05Z
-74.18957,40.6992,2023-12-10T08:39:07Z
-74.18957,40.6992,2023-12-10T08:39:07Z
-74.18959,40.69916,2023-12-10T08:39:08Z
-74.18966,40.69906,2023-12-10T08:39:08Z
-74.18976,40.69901,2023-12-10T08:39:09Z
